Logo,Pos,Canal,Vídeos,S/L,Shorts,Longos,Total
-,1,Bitelo,31,14/17,16.476.379,4.519.337,20.995.716
-,2,Renato Cariani,212,164/48,6.325.288,8.501.400,14.826.688
-,3,Toguro,122,80/42,6.104.685,4.032.308,10.136.993
-,4,Luiz Salles,196,175/21,6.492.808,374.296,6.867.104
-,5,Rodrigo Góes,23,17/6,3.969.888,1.399.428,5.369.316
-,6,Growth TV,49,24/25,1.286.236,3.433.904,4.720.140
-,7,Gorgonoid,64,41/23,1.049.304,2.056.915,3.106.219
-,8,Tenente Breno,32,24/8,1.853.226,387.477,2.240.703
-,9,Adaptogen,136,124/12,1.334.622,154.052,1.488.674
-,10,Léo Stronda,8,0/8,0,1.303.845,1.303.845
-,11,Leandro Twin,62,31/31,844.215,270.557,1.114.772
-,12,Cortes - Monster Cast,119,9/110,169.265,784.788,954.053
-,13,Jorlan Vieira,17,8/9,581.161,144.692,725.853
-,14,Paulo Muzy,34,18/16,445.645,152.939,598.584
-,15,MAROMBA NEWS,36,17/19,551.362,22.498,573.860
-,16,Zancanelli,18,12/6,426.277,120.265,546.542
-,17,Pacho,20,8/12,293.280,240.218,533.498
-,18,Jason,15,4/11,36.237,483.620,519.857
-,19,Ganley,5,0/5,0,518.351,518.351
-,20,PANTERA,12,9/3,383.240,33.909,417.149
-,21,INTEGRAL TV,14,1/13,916,365.138,366.054
-,22,BR Bodybuilding News,27,8/19,166.427,132.857,299.284
-,23,Monster Cast,14,0/14,0,292.704,292.704
-,24,Max Titanium,19,6/13,71.882,155.127,227.009
-,25,Ramon Dino Pro,1,0/1,0,21.709,21.709
-,26,Soldiers Nutrition,11,8/3,9.593,1.342,10.935
-,27,Review de Canais,17,9/8,3.918,190,4.108
-,28,Coach Rubens,2,0/2,0,3.829,3.829
-,29,Eduardo Correa,2,2/0,2.231,0,2.231
-,30,Bianca Xavier,0,0/0,0,0,0
-,31,Caike Pro,0,0/0,0,0,0
-,32,FaalaFiote,0,0/0,0,0,0
-,33,Fabio Giga PRO,0,0/0,0,0,0
-,34,Gnomo,0,0/0,0,0,0
-,35,Italo Tonn,0,0/0,0,0,0
-,36,Léo Araújo,0,0/0,0,0,0
-,37,MAROMBEIRO CRISTÃO,0,0/0,0,0,0
-,38,Maicon_monstro 👊💪,0,0/0,0,0,0
-,39,Projeto CarLu,0,0/0,0,0,0
-,40,Sansão 🔱,0,0/0,0,0,0
-,41,StrongCut.Oficial,0,0/0,0,0,0
-,42,William Martins,0,0/0,0,0,0
-,43,bodybuilding brasil,0,0/0,0,0,0
-,44,correa arts pro,0,0/0,0,0,0
